I,D,Dmean,Dstd
10,"0,540","0,530","0,006782329983"
10,"0,532","0,530","0,006782329983"
10,"0,526","0,530","0,006782329983"
10,"0,522","0,530","0,006782329983"
10,"0,530","0,530","0,006782329983"
15,"0,784","0,774","0,01009950494"
15,"0,762","0,774","0,01009950494"
15,"0,784","0,774","0,01009950494"
15,"0,766","0,774","0,01009950494"
15,"0,774","0,774","0,01009950494"
20,"1,006","1,015","0,01446374779"
20,"1,014","1,015","0,01446374779"
20,"1,012","1,015","0,01446374779"
20,"1,004","1,015","0,01446374779"
20,"1,040","1,015","0,01446374779"
25,"1,268","1,268","0,00876356092"
25,"1,272","1,268","0,00876356092"
25,"1,256","1,268","0,00876356092"
25,"1,266","1,268","0,00876356092"
25,"1,280","1,268","0,00876356092"
30,"1,524","1,500","0,01899473611"
30,"1,480","1,500","0,01899473611"
30,"1,500","1,500","0,01899473611"
30,"1,482","1,500","0,01899473611"
30,"1,512","1,500","0,01899473611"
35,"1,750","1,734","0,009695359715"
35,"1,736","1,734","0,009695359715"
35,"1,728","1,734","0,009695359715"
35,"1,730","1,734","0,009695359715"
35,"1,726","1,734","0,009695359715"
40,"1,958","1,967","0,01792205345"
40,"1,976","1,967","0,01792205345"
40,"1,940","1,967","0,01792205345"
40,"1,980","1,967","0,01792205345"
40,"1,982","1,967","0,01792205345"
