I,D,Dmean,Dstd
10,"1,642","1,648","0,01489966443"
10,"1,64","1,648","0,01489966443"
10,"1,672","1,648","0,01489966443"
10,"1,652","1,648","0,01489966443"
10,"1,634","1,648","0,01489966443"
15,"2,388","2,3824","0,01894201679"
15,"2,356","2,3824","0,01894201679"
15,"2,4","2,3824","0,01894201679"
15,"2,398","2,3824","0,01894201679"
15,"2,37","2,3824","0,01894201679"
20,"3,094","3,0948","0,01418449858"
20,"3,096","3,0948","0,01418449858"
20,"3,114","3,0948","0,01418449858"
20,"3,074","3,0948","0,01418449858"
20,"3,096","3,0948","0,01418449858"
25,"3,872","3,8444","0,02815670435"
25,"3,83","3,8444","0,02815670435"
25,"3,804","3,8444","0,02815670435"
25,"3,848","3,8444","0,02815670435"
25,"3,868","3,8444","0,02815670435"
30,"4,594","4,602","0,03826225294"
30,"4,626","4,602","0,03826225294"
30,"4,606","4,602","0,03826225294"
30,"4,642","4,602","0,03826225294"
30,"4,542","4,602","0,03826225294"
35,"5,348","5,3196","0,0225122189"
35,"5,314","5,3196","0,0225122189"
35,"5,298","5,3196","0,0225122189"
35,"5,338","5,3196","0,0225122189"
35,"5,3","5,3196","0,0225122189"
40,"6,042","6,0532","0,02022869249"
40,"6,058","6,0532","0,02022869249"
40,"6,07","6,0532","0,02022869249"
40,"6,024","6,0532","0,02022869249"
40,"6,072","6,0532","0,02022869249"
