I,D,Dmean,Dstd
11,"3,858","3,8448","0,04902244384"
11,"3,812","3,8448","0,04902244384"
11,"3,79","3,8448","0,04902244384"
11,"3,918","3,8448","0,04902244384"
11,"3,846","3,8448","0,04902244384"
13,"11,42","11,444","0,03361547263"
13,"11,5","11,444","0,03361547263"
13,"11,43","11,444","0,03361547263"
13,"11,45","11,444","0,03361547263"
13,"11,42","11,444","0,03361547263"
15,"19,04","19,074","0,08324662155"
15,"18,99","19,074","0,08324662155"
15,"19,13","19,074","0,08324662155"
15,"19,02","19,074","0,08324662155"
15,"19,19","19,074","0,08324662155"
18,"30,53","30,546","0,07368853371"
18,"30,62","30,546","0,07368853371"
18,"30,51","30,546","0,07368853371"
18,"30,62","30,546","0,07368853371"
18,"30,45","30,546","0,07368853371"
20,"38,2","38,164","0,05594640292"
20,"38,19","38,164","0,05594640292"
20,"38,22","38,164","0,05594640292"
20,"38,12","38,164","0,05594640292"
20,"38,09","38,164","0,05594640292"
25,"57,36","57,31","0,06123724357"
25,"57,28","57,31","0,06123724357"
25,"57,25","57,31","0,06123724357"
25,"57,27","57,31","0,06123724357"
25,"57,39","57,31","0,06123724357"
30,"76,28","76,33","0,07176350047"
30,"76,27","76,33","0,07176350047"
30,"76,33","76,33","0,07176350047"
30,"76,45","76,33","0,07176350047"
30,"76,32","76,33","0,07176350047"
