I,D,Dmean,Dstd
10,"10,46","10,486","0,03209361307"
10,"10,47","10,486","0,03209361307"
10,"10,53","10,486","0,03209361307"
10,"10,46","10,486","0,03209361307"
10,"10,51","10,486","0,03209361307"
15,"15,33","15,288","0,04969909456"
15,"15,34","15,288","0,04969909456"
15,"15,29","15,288","0,04969909456"
15,"15,22","15,288","0,04969909456"
15,"15,26","15,288","0,04969909456"
20,"20,06","20,07","0,02549509757"
20,"20,07","20,07","0,02549509757"
20,"20,11","20,07","0,02549509757"
20,"20,07","20,07","0,02549509757"
20,"20,04","20,07","0,02549509757"
25,"24,9","24,85","0,0738241153"
25,"24,93","24,85","0,0738241153"
25,"24,8","24,85","0,0738241153"
25,"24,75","24,85","0,0738241153"
25,"24,87","24,85","0,0738241153"
30,"29,61","29,596","0,08018728079"
30,"29,68","29,596","0,08018728079"
30,"29,49","29,596","0,08018728079"
30,"29,66","29,596","0,08018728079"
30,"29,54","29,596","0,08018728079"
35,"34,38","34,372","0,02588435821"
35,"34,4","34,372","0,02588435821"
35,"34,33","34,372","0,02588435821"
35,"34,38","34,372","0,02588435821"
35,"34,37","34,372","0,02588435821"
40,"38,13","38,16","0,04949747468"
40,"38,22","38,16","0,04949747468"
40,"38,2","38,16","0,04949747468"
40,"38,1","38,16","0,04949747468"
40,"38,15","38,16","0,04949747468"
