I,D,Dmean,Dstd
10,"2,716","2,734","0,04431703961"
10,"2,796","2,734","0,04431703961"
10,"2,758","2,734","0,04431703961"
10,"2,72","2,734","0,04431703961"
10,"2,68","2,734","0,04431703961"
15,"17,08","17,14","0,07176350047"
15,"17,05","17,14","0,07176350047"
15,"17,18","17,14","0,07176350047"
15,"17,22","17,14","0,07176350047"
15,"17,17","17,14","0,07176350047"
20,"31,55","31,448","0,07293833012"
20,"31,39","31,448","0,07293833012"
20,"31,5","31,448","0,07293833012"
20,"31,41","31,448","0,07293833012"
20,"31,39","31,448","0,07293833012"
25,"45,97","45,93","0,05958187644"
25,"45,92","45,93","0,05958187644"
25,"45,97","45,93","0,05958187644"
25,"45,83","45,93","0,05958187644"
25,"45,96","45,93","0,05958187644"
30,"60,26","60,278","0,03633180425"
30,"60,34","60,278","0,03633180425"
30,"60,28","60,278","0,03633180425"
30,"60,25","60,278","0,03633180425"
30,"60,26","60,278","0,03633180425"
35,"74,59","74,59","0,03937003937"
35,"74,55","74,59","0,03937003937"
35,"74,56","74,59","0,03937003937"
35,"74,65","74,59","0,03937003937"
35,"74,6","74,59","0,03937003937"
40,"86,17","86,122","0,0690651866"
40,"86,2","86,122","0,0690651866"
40,"86,05","86,122","0,0690651866"
40,"86,14","86,122","0,0690651866"
40,"86,05","86,122","0,0690651866"
