I,D,Dmean,Dstd
10,"0,356","0,353","0,005761944116"
10,"0,360","0,353","0,005761944116"
10,"0,354","0,353","0,005761944116"
10,"0,346","0,353","0,005761944116"
10,"0,348","0,353","0,005761944116"
15,"0,514","0,521","0,01360882067"
15,"0,510","0,521","0,01360882067"
15,"0,542","0,521","0,01360882067"
15,"0,512","0,521","0,01360882067"
15,"0,528","0,521","0,01360882067"
20,"0,676","0,684","0,01208304597"
20,"0,672","0,684","0,01208304597"
20,"0,698","0,684","0,01208304597"
20,"0,696","0,684","0,01208304597"
20,"0,678","0,684","0,01208304597"
25,"0,846","0,853","0,01578606981"
25,"0,880","0,853","0,01578606981"
25,"0,846","0,853","0,01578606981"
25,"0,854","0,853","0,01578606981"
25,"0,840","0,853","0,01578606981"
30,"1,006","1,012","0,01918332609"
30,"1,034","1,012","0,01918332609"
30,"1,000","1,012","0,01918332609"
30,"1,030","1,012","0,01918332609"
30,"0,990","1,012","0,01918332609"
35,"1,156","1,187","0,02184490787"
35,"1,196","1,187","0,02184490787"
35,"1,186","1,187","0,02184490787"
35,"1,182","1,187","0,02184490787"
35,"1,216","1,187","0,02184490787"
40,"1,340","1,336","0,01702938637"
40,"1,352","1,336","0,01702938637"
40,"1,334","1,336","0,01702938637"
40,"1,308","1,336","0,01702938637"
40,"1,346","1,336","0,01702938637"
