I,D,Dmean,Dstd
10,"0,95","0,9704","0,02061067684"
10,"0,98","0,9704","0,02061067684"
10,"0,974","0,9704","0,02061067684"
10,"0,95","0,9704","0,02061067684"
10,"0,998","0,9704","0,02061067684"
15,"1,426","1,4344","0,03718601888"
15,"1,398","1,4344","0,03718601888"
15,"1,416","1,4344","0,03718601888"
15,"1,436","1,4344","0,03718601888"
15,"1,496","1,4344","0,03718601888"
20,"1,874","1,874","0,01407124728"
20,"1,85","1,874","0,01407124728"
20,"1,884","1,874","0,01407124728"
20,"1,878","1,874","0,01407124728"
20,"1,884","1,874","0,01407124728"
25,"2,29","2,3172","0,02402498699"
25,"2,31","2,3172","0,02402498699"
25,"2,356","2,3172","0,02402498699"
25,"2,314","2,3172","0,02402498699"
25,"2,316","2,3172","0,02402498699"
30,"2,79","2,7544","0,02397498697"
30,"2,73","2,7544","0,02397498697"
30,"2,764","2,7544","0,02397498697"
30,"2,736","2,7544","0,02397498697"
30,"2,752","2,7544","0,02397498697"
35,"3,204","3,2044","0,019462785"
35,"3,194","3,2044","0,019462785"
35,"3,238","3,2044","0,019462785"
35,"3,196","3,2044","0,019462785"
35,"3,19","3,2044","0,019462785"
40,"3,64","3,6336","0,01152388823"
40,"3,644","3,6336","0,01152388823"
40,"3,64","3,6336","0,01152388823"
40,"3,616","3,6336","0,01152388823"
40,"3,628","3,6336","0,01152388823"
