I,D,Dmean,Dstd
10,"1,35","1,3304","0,0130690474"
10,"1,336","1,3304","0,0130690474"
10,"1,328","1,3304","0,0130690474"
10,"1,32","1,3304","0,0130690474"
10,"1,318","1,3304","0,0130690474"
15,"1,918","1,9264","0,008648699324"
15,"1,928","1,9264","0,008648699324"
15,"1,92","1,9264","0,008648699324"
15,"1,926","1,9264","0,008648699324"
15,"1,94","1,9264","0,008648699324"
20,"2,52","2,5232","0,009859006035"
20,"2,532","2,5232","0,009859006035"
20,"2,534","2,5232","0,009859006035"
20,"2,52","2,5232","0,009859006035"
20,"2,51","2,5232","0,009859006035"
25,"3,144","3,1304","0,0249158584"
25,"3,11","3,1304","0,0249158584"
25,"3,166","3,1304","0,0249158584"
25,"3,126","3,1304","0,0249158584"
25,"3,106","3,1304","0,0249158584"
30,"3,748","3,728","0,02213594362"
30,"3,7","3,728","0,02213594362"
30,"3,752","3,728","0,02213594362"
30,"3,726","3,728","0,02213594362"
30,"3,714","3,728","0,02213594362"
35,"4,294","4,3144","0,01961631974"
35,"4,334","4,3144","0,01961631974"
35,"4,332","4,3144","0,01961631974"
35,"4,318","4,3144","0,01961631974"
35,"4,294","4,3144","0,01961631974"
40,"4,84","4,832","0,02679552201"
40,"4,866","4,832","0,02679552201"
40,"4,82","4,832","0,02679552201"
40,"4,84","4,832","0,02679552201"
40,"4,794","4,832","0,02679552201"
