I,D,Dmean,Dstd
10,"0,310","0,306","0,009695359715"
10,"0,296","0,306","0,009695359715"
10,"0,298","0,306","0,009695359715"
10,"0,320","0,306","0,009695359715"
10,"0,306","0,306","0,009695359715"
15,"0,442","0,447","0,007014271167"
15,"0,450","0,447","0,007014271167"
15,"0,438","0,447","0,007014271167"
15,"0,456","0,447","0,007014271167"
15,"0,448","0,447","0,007014271167"
20,"0,596","0,587","0,007293833012"
20,"0,576","0,587","0,007293833012"
20,"0,588","0,587","0,007293833012"
20,"0,590","0,587","0,007293833012"
20,"0,586","0,587","0,007293833012"
25,"0,748","0,728","0,01337161172"
25,"0,714","0,728","0,01337161172"
25,"0,730","0,728","0,01337161172"
25,"0,732","0,728","0,01337161172"
25,"0,718","0,728","0,01337161172"
30,"0,844","0,862","0,0113137085"
30,"0,860","0,862","0,0113137085"
30,"0,864","0,862","0,0113137085"
30,"0,874","0,862","0,0113137085"
30,"0,868","0,862","0,0113137085"
35,"1,022","1,012","0,01071447619"
35,"1,012","1,012","0,01071447619"
35,"0,996","1,012","0,01071447619"
35,"1,022","1,012","0,01071447619"
35,"1,010","1,012","0,01071447619"
40,"1,128","1,144","0,02065913841"
40,"1,150","1,144","0,02065913841"
40,"1,160","1,144","0,02065913841"
40,"1,166","1,144","0,02065913841"
40,"1,118","1,144","0,02065913841"
