I,D,Dmean,Dstd
10,"7,766","7,7504","0,02578371579"
10,"7,72","7,7504","0,02578371579"
10,"7,778","7,7504","0,02578371579"
10,"7,762","7,7504","0,02578371579"
10,"7,726","7,7504","0,02578371579"
15,"11,28","11,348","0,04438468204"
15,"11,36","11,348","0,04438468204"
15,"11,39","11,348","0,04438468204"
15,"11,33","11,348","0,04438468204"
15,"11,38","11,348","0,04438468204"
20,"14,88","14,948","0,0589067059"
20,"14,92","14,948","0,0589067059"
20,"15,01","14,948","0,0589067059"
20,"14,92","14,948","0,0589067059"
20,"15,01","14,948","0,0589067059"
25,"18,49","18,53","0,0316227766"
25,"18,57","18,53","0,0316227766"
25,"18,53","18,53","0,0316227766"
25,"18,55","18,53","0,0316227766"
25,"18,51","18,53","0,0316227766"
30,"22,04","22,124","0,08264381405"
30,"22,09","22,124","0,08264381405"
30,"22,16","22,124","0,08264381405"
30,"22,08","22,124","0,08264381405"
30,"22,25","22,124","0,08264381405"
35,"25,65","25,638","0,07823042886"
35,"25,71","25,638","0,07823042886"
35,"25,63","25,638","0,07823042886"
35,"25,69","25,638","0,07823042886"
35,"25,51","25,638","0,07823042886"
40,"28,55","28,524","0,04393176527"
40,"28,46","28,524","0,04393176527"
40,"28,57","28,524","0,04393176527"
40,"28,5","28,524","0,04393176527"
40,"28,54","28,524","0,04393176527"
