I,D,Dmean,Dstd
10,"0,040","0,038","0,00316227766"
10,"0,034","0,038","0,00316227766"
10,"0,038","0,038","0,00316227766"
10,"0,036","0,038","0,00316227766"
10,"0,042","0,038","0,00316227766"
15,"0,054","0,055","0,005215361924"
15,"0,058","0,055","0,005215361924"
15,"0,050","0,055","0,005215361924"
15,"0,062","0,055","0,005215361924"
15,"0,050","0,055","0,005215361924"
20,"0,080","0,076","0,004979959839"
20,"0,070","0,076","0,004979959839"
20,"0,072","0,076","0,004979959839"
20,"0,080","0,076","0,004979959839"
20,"0,080","0,076","0,004979959839"
25,"0,092","0,091","0,004147288271"
25,"0,094","0,091","0,004147288271"
25,"0,094","0,091","0,004147288271"
25,"0,092","0,091","0,004147288271"
25,"0,084","0,091","0,004147288271"
30,"0,112","0,112","0,002607680962"
30,"0,114","0,112","0,002607680962"
30,"0,110","0,112","0,002607680962"
30,"0,114","0,112","0,002607680962"
30,"0,108","0,112","0,002607680962"
35,"0,130","0,130","0,00316227766"
35,"0,126","0,130","0,00316227766"
35,"0,128","0,130","0,00316227766"
35,"0,132","0,130","0,00316227766"
35,"0,134","0,130","0,00316227766"
40,"0,146","0,149","0,004147288271"
40,"0,152","0,149","0,004147288271"
40,"0,144","0,149","0,004147288271"
40,"0,154","0,149","0,004147288271"
40,"0,150","0,149","0,004147288271"
