I,D,Dmean,Dstd
10,"0,186","0,209","0,04633788946"
10,"0,292","0,209","0,04633788946"
10,"0,188","0,209","0,04633788946"
10,"0,192","0,209","0,04633788946"
10,"0,188","0,209","0,04633788946"
15,"0,282","0,272","0,01161034022"
15,"0,270","0,272","0,01161034022"
15,"0,284","0,272","0,01161034022"
15,"0,266","0,272","0,01161034022"
15,"0,256","0,272","0,01161034022"
20,"0,358","0,360","0,01071447619"
20,"0,356","0,360","0,01071447619"
20,"0,356","0,360","0,01071447619"
20,"0,378","0,360","0,01071447619"
20,"0,350","0,360","0,01071447619"
25,"0,442","0,441","0,004147288271"
25,"0,444","0,441","0,004147288271"
25,"0,436","0,441","0,004147288271"
25,"0,446","0,441","0,004147288271"
25,"0,438","0,441","0,004147288271"
30,"0,552","0,526","0,01766352173"
30,"0,522","0,526","0,01766352173"
30,"0,520","0,526","0,01766352173"
30,"0,504","0,526","0,01766352173"
30,"0,532","0,526","0,01766352173"
35,"0,620","0,613","0,01664932431"
35,"0,628","0,613","0,01664932431"
35,"0,622","0,613","0,01664932431"
35,"0,608","0,613","0,01664932431"
35,"0,586","0,613","0,01664932431"
40,"0,662","0,663","0,01879361594"
40,"0,644","0,663","0,01879361594"
40,"0,660","0,663","0,01879361594"
40,"0,694","0,663","0,01879361594"
40,"0,654","0,663","0,01879361594"
