I,D,Dmean,Dstd
10,"0,420","0,424","0,006228964601"
10,"0,434","0,424","0,006228964601"
10,"0,422","0,424","0,006228964601"
10,"0,424","0,424","0,006228964601"
10,"0,418","0,424","0,006228964601"
15,"0,618","0,616","0,004774934555"
15,"0,608","0,616","0,004774934555"
15,"0,620","0,616","0,004774934555"
15,"0,618","0,616","0,004774934555"
15,"0,614","0,616","0,004774934555"
20,"0,802","0,813","0,01559487095"
20,"0,814","0,813","0,01559487095"
20,"0,798","0,813","0,01559487095"
20,"0,814","0,813","0,01559487095"
20,"0,838","0,813","0,01559487095"
25,"1,004","0,999","0,01005982107"
25,"0,990","0,999","0,01005982107"
25,"1,012","0,999","0,01005982107"
25,"1,002","0,999","0,01005982107"
25,"0,988","0,999","0,01005982107"
30,"1,194","1,203","0,009011104261"
30,"1,202","1,203","0,009011104261"
30,"1,196","1,203","0,009011104261"
30,"1,216","1,203","0,009011104261"
30,"1,208","1,203","0,009011104261"
35,"1,380","1,380","0,00876356092"
35,"1,376","1,380","0,00876356092"
35,"1,382","1,380","0,00876356092"
35,"1,392","1,380","0,00876356092"
35,"1,368","1,380","0,00876356092"
40,"1,598","1,571","0,01718138528"
40,"1,572","1,571","0,01718138528"
40,"1,556","1,571","0,01718138528"
40,"1,572","1,571","0,01718138528"
40,"1,556","1,571","0,01718138528"
