I,D,Dmean,Dstd
10,"0,498","0,490","0,01019803903"
10,"0,502","0,490","0,01019803903"
10,"0,482","0,490","0,01019803903"
10,"0,478","0,490","0,01019803903"
10,"0,490","0,490","0,01019803903"
15,"0,706","0,714","0,01033440855"
15,"0,716","0,714","0,01033440855"
15,"0,730","0,714","0,01033440855"
15,"0,712","0,714","0,01033440855"
15,"0,704","0,714","0,01033440855"
20,"0,948","0,946","0,0132211951"
20,"0,962","0,946","0,0132211951"
20,"0,952","0,946","0,0132211951"
20,"0,944","0,946","0,0132211951"
20,"0,926","0,946","0,0132211951"
25,"1,148","1,167","0,01694697613"
25,"1,154","1,167","0,01694697613"
25,"1,188","1,167","0,01694697613"
25,"1,180","1,167","0,01694697613"
25,"1,164","1,167","0,01694697613"
30,"1,392","1,389","0,0129305839"
30,"1,382","1,389","0,0129305839"
30,"1,370","1,389","0,0129305839"
30,"1,402","1,389","0,0129305839"
30,"1,398","1,389","0,0129305839"
35,"1,628","1,613","0,01879361594"
35,"1,630","1,613","0,01879361594"
35,"1,590","1,613","0,01879361594"
35,"1,596","1,613","0,01879361594"
35,"1,622","1,613","0,01879361594"
40,"1,792","1,808","0,02973213749"
40,"1,854","1,808","0,02973213749"
40,"1,810","1,808","0,02973213749"
40,"1,774","1,808","0,02973213749"
40,"1,810","1,808","0,02973213749"
