I,D,Dmean,Dstd
10,"0,436","0,442","0,006633249581"
10,"0,452","0,442","0,006633249581"
10,"0,436","0,442","0,006633249581"
10,"0,442","0,442","0,006633249581"
10,"0,444","0,442","0,006633249581"
15,"0,642","0,642","0,004774934555"
15,"0,638","0,642","0,004774934555"
15,"0,648","0,642","0,004774934555"
15,"0,636","0,642","0,004774934555"
15,"0,644","0,642","0,004774934555"
20,"0,832","0,835","0,008555699854"
20,"0,834","0,835","0,008555699854"
20,"0,832","0,835","0,008555699854"
20,"0,850","0,835","0,008555699854"
20,"0,828","0,835","0,008555699854"
25,"1,050","1,044","0,008173126697"
25,"1,036","1,044","0,008173126697"
25,"1,046","1,044","0,008173126697"
25,"1,036","1,044","0,008173126697"
25,"1,054","1,044","0,008173126697"
30,"1,244","1,247","0,007949842766"
30,"1,236","1,247","0,007949842766"
30,"1,248","1,247","0,007949842766"
30,"1,258","1,247","0,007949842766"
30,"1,248","1,247","0,007949842766"
35,"1,434","1,448","0,009591663047"
35,"1,446","1,448","0,009591663047"
35,"1,458","1,448","0,009591663047"
35,"1,456","1,448","0,009591663047"
35,"1,446","1,448","0,009591663047"
40,"1,658","1,655","0,008074651695"
40,"1,662","1,655","0,008074651695"
40,"1,642","1,655","0,008074651695"
40,"1,660","1,655","0,008074651695"
40,"1,652","1,655","0,008074651695"
