I,D,Dmean,Dstd
10,"12,91","12,874","0,02302172887"
10,"12,85","12,874","0,02302172887"
10,"12,86","12,874","0,02302172887"
10,"12,88","12,874","0,02302172887"
10,"12,87","12,874","0,02302172887"
15,"18,76","18,754","0,0646529195"
15,"18,86","18,754","0,0646529195"
15,"18,72","18,754","0,0646529195"
15,"18,69","18,754","0,0646529195"
15,"18,74","18,754","0,0646529195"
20,"24,43","24,47","0,08426149773"
20,"24,5","24,47","0,08426149773"
20,"24,44","24,47","0,08426149773"
20,"24,38","24,47","0,08426149773"
20,"24,6","24,47","0,08426149773"
25,"30,27","30,298","0,07429670248"
25,"30,31","30,298","0,07429670248"
25,"30,33","30,298","0,07429670248"
25,"30,19","30,298","0,07429670248"
25,"30,39","30,298","0,07429670248"
30,"36,08","36,098","0,03420526275"
30,"36,05","36,098","0,03420526275"
30,"36,13","36,098","0,03420526275"
30,"36,1","36,098","0,03420526275"
30,"36,13","36,098","0,03420526275"
35,"41,88","41,9","0,04183300133"
35,"41,87","41,9","0,04183300133"
35,"41,94","41,9","0,04183300133"
35,"41,95","41,9","0,04183300133"
35,"41,86","41,9","0,04183300133"
40,"46,45","46,468","0,0657267069"
40,"46,4","46,468","0,0657267069"
40,"46,57","46,468","0,0657267069"
40,"46,43","46,468","0,0657267069"
40,"46,49","46,468","0,0657267069"
