I,D,Dmean,Dstd
10,"0,626","0,633","0,01044988038"
10,"0,646","0,633","0,01044988038"
10,"0,620","0,633","0,01044988038"
10,"0,640","0,633","0,01044988038"
10,"0,634","0,633","0,01044988038"
15,"0,904","0,907","0,008899438185"
15,"0,894","0,907","0,008899438185"
15,"0,910","0,907","0,008899438185"
15,"0,918","0,907","0,008899438185"
15,"0,910","0,907","0,008899438185"
20,"1,170","1,184","0,01757270611"
20,"1,198","1,184","0,01757270611"
20,"1,162","1,184","0,01757270611"
20,"1,190","1,184","0,01757270611"
20,"1,202","1,184","0,01757270611"
25,"1,472","1,476","0,01252198067"
25,"1,480","1,476","0,01252198067"
25,"1,480","1,476","0,01252198067"
25,"1,492","1,476","0,01252198067"
25,"1,458","1,476","0,01252198067"
30,"1,784","1,766","0,02315167381"
30,"1,768","1,766","0,02315167381"
30,"1,730","1,766","0,02315167381"
30,"1,760","1,766","0,02315167381"
30,"1,788","1,766","0,02315167381"
35,"2,020","2,032","0,009486832981"
35,"2,044","2,032","0,009486832981"
35,"2,032","2,032","0,009486832981"
35,"2,038","2,032","0,009486832981"
35,"2,026","2,032","0,009486832981"
40,"2,244","2,249","0,01035374328"
40,"2,260","2,249","0,01035374328"
40,"2,252","2,249","0,01035374328"
40,"2,256","2,249","0,01035374328"
40,"2,234","2,249","0,01035374328"
