I,D,Dmean,Dstd
10,"0,100","0,101","0,005215361924"
10,"0,096","0,101","0,005215361924"
10,"0,096","0,101","0,005215361924"
10,"0,104","0,101","0,005215361924"
10,"0,108","0,101","0,005215361924"
15,"0,148","0,146","0,007924645102"
15,"0,144","0,146","0,007924645102"
15,"0,158","0,146","0,007924645102"
15,"0,140","0,146","0,007924645102"
15,"0,138","0,146","0,007924645102"
20,"0,198","0,193","0,006870225615"
20,"0,200","0,193","0,006870225615"
20,"0,184","0,193","0,006870225615"
20,"0,188","0,193","0,006870225615"
20,"0,196","0,193","0,006870225615"
25,"0,232","0,234","0,007402702209"
25,"0,240","0,234","0,007402702209"
25,"0,244","0,234","0,007402702209"
25,"0,230","0,234","0,007402702209"
25,"0,226","0,234","0,007402702209"
30,"0,282","0,284","0,0132211951"
30,"0,294","0,284","0,0132211951"
30,"0,300","0,284","0,0132211951"
30,"0,280","0,284","0,0132211951"
30,"0,266","0,284","0,0132211951"
35,"0,340","0,333","0,005585696018"
35,"0,332","0,333","0,005585696018"
35,"0,338","0,333","0,005585696018"
35,"0,328","0,333","0,005585696018"
35,"0,328","0,333","0,005585696018"
40,"0,386","0,372","0,01089954127"
40,"0,372","0,372","0,01089954127"
40,"0,360","0,372","0,01089954127"
40,"0,362","0,372","0,01089954127"
40,"0,378","0,372","0,01089954127"
