I,D,Dmean,Dstd
10,"0,776","0,766","0,009208691547"
10,"0,770","0,766","0,009208691547"
10,"0,754","0,766","0,009208691547"
10,"0,770","0,766","0,009208691547"
10,"0,758","0,766","0,009208691547"
15,"1,112","1,116","0,005176871642"
15,"1,110","1,116","0,005176871642"
15,"1,120","1,116","0,005176871642"
15,"1,114","1,116","0,005176871642"
15,"1,122","1,116","0,005176871642"
20,"1,470","1,469","0,01109954954"
20,"1,478","1,469","0,01109954954"
20,"1,476","1,469","0,01109954954"
20,"1,470","1,469","0,01109954954"
20,"1,450","1,469","0,01109954954"
25,"1,820","1,798","0,01663730747"
25,"1,780","1,798","0,01663730747"
25,"1,796","1,798","0,01663730747"
25,"1,808","1,798","0,01663730747"
25,"1,784","1,798","0,01663730747"
30,"2,158","2,163","0,02805708467"
30,"2,182","2,163","0,02805708467"
30,"2,198","2,163","0,02805708467"
30,"2,126","2,163","0,02805708467"
30,"2,150","2,163","0,02805708467"
35,"2,490","2,500","0,0258069758"
35,"2,460","2,500","0,0258069758"
35,"2,508","2,500","0,0258069758"
35,"2,518","2,500","0,0258069758"
35,"2,524","2,500","0,0258069758"
40,"2,802","2,818","0,01923538406"
40,"2,850","2,818","0,01923538406"
40,"2,816","2,818","0,01923538406"
40,"2,804","2,818","0,01923538406"
40,"2,818","2,818","0,01923538406"
